word,freq,english_word
歌手,92,singer
发展,88,develop
技术,64,technology
产业,54,industry
歌曲,50,song
网络,48,internet
孙燕姿,48,Stefanie Sun
科技,46,science and technology
平台,45,platform
视频,41,video
内容,40,content
声音,39,sound
行业,37,sector
广州,36,Guangzhou
用户,35,user
数字,35,number
智能,33,intelligent
进行,32,conduct
作品,32,work
创作,31,creation
企业,31,enterprise
使用,30,use
文化,29,culture
带来,29,bring
创新,28,Innovation
服务,27,Service
生成,27,generate
中国,26,China
一个,25,one
版权,24,copyright
已经,23,already
相关,23,Related
公园,23,garden
演唱,22,Sing
公司,22,company
成为,22,become
目前,22,at present
可能,22,possible
项目,21,project
翻唱,21,Scroll
视听,21,Audiovisual
发布,20,release
大会,20,General Assembly
制作,19,Make
提供,18,supply
山东,18,Shandong
时代,17,era
没有,17,No
市场,17,market
儒商,17,Confucian merchant
领域,16,field
应用,16,application
问题,16,question
训练,16,train
高质量,16,high quality
音色,16,Tone
网友,16,Netizen
需要,16,need
合作,15,cooperate
音乐创作,15,Music creation
创意,15,Creativity
互联网,15,internet
持续,15,continued
取代,15,replace
法律,15,law
aigc,15,AIGC
学习,14,study
虚拟,14,virtual
体验,14,Experience
播放,14,Play
利用,14,use
侵权,14,Infringement
软件,14,software
未来,14,future
规定,14,Regulation
互鉴,13,Learn from each other
打造,13,Build
传统,13,Tradition
城市,13,City
产品,13,product
中心,12,center
功能,12,Function
了解,12,learn
推动,12,promote
很多,12,a lot of
认为,12,think
数据,12,data
这种,12,This
场景,12,Scenes
酷狗,12,KuGou
建设,12,Build
我国,12,Our country
空间,12,space
活动,12,Activity
中关村,12,Zhongguancun
律师,12,lawyer
研究,11,Research
重要,11,important
实现,11,accomplish
musiclm,11,Musiclm
音频,11,Audio
代表,11,represent
关注,11,focus on
介绍,11,introduce
集团,11,group
智慧,11,wisdom
海淀区,11,Haidian District
录音,11,recording
肖像权,11,Right to portrait
全球,10,worldwide
深度,10,depth
经济,10,economy
出现,10,Appear
表示,10,express
涉及,10,Involve
万兴,10,Great
规模,10,scale
国家,10,nation
去年,10,last year
彩铃,10,Colorful bell
产业园,10,Industrial Park
表率,10,example
记者,10,reporter
保护,10,Protect
陈珊妮,10,Chen Shanni
模仿,10,imitate
著作权,10,Copyright
提升,9,promote
尝试,9,try
推出,9,roll out
机器人,9,robot
机遇,9,opportunity
模型,9,Model
一种,9,A sort of
转换,9,Convert
不同,9,different
创作者,9,creator
丰富,9,Rich
流行音乐,9,Pop music
显示,9,show
唱片,9,record
展示,9,exhibit
如今,9,now
不少,9,Many
生物,9,biology
多样性,9,Diversity
书院,8,School
文化产业,8,Culture Industry
文本,8,text
不断,8,Constantly
数字化,8,Digitizing
增长,8,increase
方式,8,Way
生成式,8,Generate
合成,8,synthesis
加速,8,accelerate
包括,8,include
娱乐,8,entertainment
升级,8,upgrade
app,8,APP
世界,8,world
园区,8,Park
环境,8,environment
国际,8,internationality
论坛,8,forum
今年,8,This year
软件园,8,Software center
周杰伦,8,Jay Chou
应当,8,should
侵犯,8,infringe
主题,7,theme
原创,7,Original
优秀,7,excellent
现在,7,Now
要求,7,Require
openai,7,OpenAI
工具,7,tool
人类,7,Humanity
发现,7,Discover
达到,7,achieve
生态,7,Ecological
优质,7,High-quality
吸引,7,attract
效果,7,Effect
融合,7,Fusion
动能,7,kinetic energy
明星,7,star
气象,7,meteorological
学院,7,College
影响,7,Influence
进一步,7,further
逐渐,7,gradually
海淀,7,Haidian
真人,7,Real person
观众,7,audience
著作权法,7,Copyright Law
完成,6,Finish
蔡尚伟,6,Cai Shangwei
教授,6,professor
歌词,6,lyrics
系统,6,system
提出,6,propose
文创,6,Cultural and creative
创造,6,create
拓展,6,expand
传播,6,spread
优势,6,Advantage
媒体,6,media
正在,6,In
谷歌,6,Google
这是,6,This is
之后,6,after
艺术家,6,artist
爆火,6,Burst
乐器,6,Instrument
有着,6,have
挑战,6,challenge
时间,6,time
接受,6,accept
打开,6,Open
现实,6,Reality
方面,6,aspect
计划,6,plan
布局,6,layout
旗下,6,Under
版本,6,Version
当下,6,Now
门槛,6,threshold
超过,6,Exceed
多个,6,Multiple
举办,6,hold
人才,6,Talent
公布,6,Announce
发行,6,issued
模式,6,model
负责人,6,principal
降低,6,reduce
处理,6,deal with
发挥,6,Exert
对接,6,Dock
大湾,6,Grand Bay
学生,6,student
成果,6,Achievement
得到,6,get
取得,6,Obtain
越来越,6,Increasingly
保育,6,Conservation
小区,6,Community
互动,6,interactive
一直,6,Always
展览,6,exhibition
个人,6,personal
权利,6,right
具体,6,specific
发如雪,6,Like snow
sovitssvc,6,SovitsSVC
表演者,6,actor actress
旋律,5,melody
效率,5,efficiency
体现,5,reflect
社会,5,society
全国,5,Nationwide
近期,5,In the near future
chatgpt,5,ChatGPT
改变,5,Change
最近,5,recent
表演,5,Performance
电子,5,electronic
突破,5,breakthrough
助力,5,Help
结合,5,Combine
一起,5,Together
机器,5,machine
网站,5,website
快速,5,fast
情况,5,Condition
担心,5,Worry
版权保护,5,Copyright Protection
未经,5,Not
同意,5,agree
上线,5,online
引发,5,Cause
增加,5,Increase
研发,5,Research and development
支持,5,support
引领,5,Lead
搭建,5,Build
指出,5,Point out
羊城,5,Yangcheng
工业,5,industry
北京,5,Beijing
资源,5,resource
流行,5,Popularity
赋能,5,Empowerment
共生,5,Symbiosis
大众,5,public
不会,5,Won't
实验室,5,laboratory
新兴,5,new
作用,5,effect
设置,5,set up
广阔,5,broad
网易,5,NetEase
